"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"GOODM","Gladstone Commercial Corporation","22.55","$79.14M","n/a","Consumer Services","Real Estate","https://old.nasdaq.com/symbol/goodm",
"GOODN","Gladstone Commercial Corporation","21.5","n/a","n/a","Consumer Services","Real Estate","https://old.nasdaq.com/symbol/goodn",
"GAIN","Gladstone Investment Corporation","10.2","$337.1M","2005","n/a","n/a","https://old.nasdaq.com/symbol/gain",
"GAINL","Gladstone Investment Corporation","24.51","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gainl",
"GAINM","Gladstone Investment Corporation","24.5365","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gainm",
"LAND","Gladstone Land Corporation","13.98","$298.42M","2013","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/land",
"LANDP","Gladstone Land Corporation","25.84","$29.72M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/landp",
"GLT","Glatfelter","14.4","$638.09M","n/a","Basic Industries","Paper","https://old.nasdaq.com/symbol/glt",
"GKOS","Glaukos Corporation","35.37","$1.56B","2015","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/gkos",
"GSK","GlaxoSmithKline PLC","40.93","$102.67B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/gsk",
"GLBZ","Glen Burnie Bancorp","8.5","$24.09M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/glbz",
"GBT","Global Blood Therapeutics, Inc.","69.77","$4.25B","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/gbt",
"CO","Global Cord Blood Corporation","2.78","$337.91M","n/a","Finance","Business Services","https://old.nasdaq.com/symbol/co",
"ENT","Global Eagle Entertainment Inc.","2.13","$7.98M","2011","Consumer Services","Telecommunications Equipment","https://old.nasdaq.com/symbol/ent",
"GBLI","Global Indemnity Limited","23.33","$334.06M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/gbli",
"GBLIL","Global Indemnity Limited","24.26","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/gblil",
"GBLIZ","Global Indemnity Limited","24.037","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/gbliz",
"GMRE","Global Medical REIT Inc.","11.12","$500.54M","2016","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/gmre",
"GMRE^A","Global Medical REIT Inc.","25.11","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gmre^a",
"GNL","Global Net Lease, Inc.","13.63","$1.22B","2015","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/gnl",
"GNL^A","Global Net Lease, Inc.","23.2648","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gnl^a",
"GNL^B","Global Net Lease, Inc.","21.88","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gnl^b",
"GLP","Global Partners LP","10.19","$346.41M","2005","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/glp",
"GLP^A","Global Partners LP","21.685","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/glp^a",
"GPN","Global Payments Inc.","179.91","$53.81B","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/gpn",
"SELF","Global Self Storage, Inc.","3.6005","$33.69M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/self",
"GSL","Global Ship Lease, Inc.","4.21","$73.91M","n/a","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/gsl",
"GSL^B","Global Ship Lease, Inc.","19.9","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gsl^b",
"GSLD","Global Ship Lease, Inc.","20.0808","n/a","2019","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/gsld",
"GWRS","Global Water Resources, Inc.","10.33","$232.81M","2016","Public Utilities","Water Supply","https://old.nasdaq.com/symbol/gwrs",
